Year,Max Snow Depth (December),Max Snow Depth (December-April)
1904,15,15
1905,2,14
1906,13,30
1907,25,50
1908,5,76
1909,28,35
1910,4,15
1911,5,40
1912,5,11
1913,13,30
1914,0,25
1915,71,71
1916,21,43
1917,20,73
1918,20,20
1919,28,32
1920,2,12
1921,4,52
1922,6,28
1923,22,68
1924,0,12
1925,12,47
1926,29,29
1927,15,22
1928,1,43
1929,8,12
1930,21,42
1931,30,30
1932,0,21
1933,11,26
1934,15,15
1935,7,25
1936,0,32
1937,47,47
1938,11,24
1939,10,30
1940,3,45
1941,10,47
1942,8,23
1943,1,11
1944,3,38
1945,10,38
1946,0,32
1947,3,50
1948,1,5
1949,3,20
1950,28,39
1951,2,29
1952,12,35
1953,1,22
1954,2,13
1955,34,34
1956,11,16
1957,5,18
1958,8,36
1959,25,27
1960,15,15
1961,9,20
1962,20,40
1963,22,22
1964,18,18
1965,28,47
1966,19,23
1967,25,32
1968,22,30
1969,20,63
1970,8,20
1971,2,22
1972,0,3
1973,14,14
1974,7,12
1975,4,12
1976,44,44
1977,7,22
1978,21,60
1979,7,12
1980,4,15
1981,43,64
1982,1,12
1983,12,16
1984,15,48
1985,29,29
1986,36,49
1987,3,20
1988,17,17
1989,17,17
1990,1,16
1991,6,12
1992,0,8
1993,11,13
1994,0,19
1995,5,9
1996,12,13
1997,6,24
1998,20,20
1999,13,13
2000,12,17
2001,31,40
2002,8,24
2003,8,28
2004,25,36
2005,27,35
2006,0,22
2007,0,6
2008,0,15
2009,24,50
2010,38,45
2011,3,17
2012,42,42
2013,3,12
2014,6,30
2015,5,11
2016,5,22
